Comment,Designator,Footprint,LCSC
100n,"C6,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20",gemini:C_0201_0603Metric,C576431
RP2040,U4,gemini:RP2040-QFN-56,C2040
10k,"R1,R2,R3,R10,R16",gemini:R_0201_0603Metric,C138117
15p,"C7,C8",gemini:C_0201_0603Metric,C85891
10u,"C1,C3,C4,C5",gemini:C_0402_1005Metric,C15525
51k,"R4,R5,R6",gemini:R_0201_0603Metric,C295806
1u,"C9,C10",gemini:C_0201_0603Metric,C76935
4.7u,C2,gemini:C_0201_0603Metric,C335103
2N7002VC-,"Q1,Q2",gemini:SOT-563,C504145
27,"R11,R12",gemini:R_0201_0603Metric,C273295
500mA,F1,gemini:Fuse_0603_1608Metric,C210357
SWITCH,SW1,gemini:1.9x2.8mm SW,C589221
USB_C_Receptacle_USB2.0,J1,gemini:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2858270
1k,"R9,R13",gemini:R_0201_0603Metric,C138297
PMEG2010BELD,D1,gemini:SOD882D,C552820
W25Q128JVPIQ,U3,gemini:W25Q128JVPIQ,C190862
5.1k,"R7,R8,R15",gemini:R_0201_0603Metric,C473460
27R,R14,gemini:R_0201_0603Metric,C273295
600R,FB1,gemini:R_0402_1005Metric,C160977
74LVC1T45,U5,gemini:SOT-563,C352970
TLV75533PDQNR,U2,gemini:X2SON-4,C2861882
12MHz,Y1,gemini:Crystal_SMD_2520-4Pin_2.5x2.0mm,C2149204
WS2812B,D2,gemini:LED_WS2812B-2020_PLCC4_2.0x2.0mm,C2976072
USBLC6-2P6,U1,gemini:SOT-666,C2827693
